Week,Batman
2015-03-29,2
2015-04-05,2
2015-04-12,13
2015-04-19,11
2015-04-26,5
2015-05-03,3
2015-05-10,3
2015-05-17,3
2015-05-24,3
2015-05-31,2
2015-06-07,3
2015-06-14,2
2015-06-21,3
2015-06-28,3
2015-07-05,5
2015-07-12,15
2015-07-19,5
2015-07-26,4
2015-08-02,3
2015-08-09,3
2015-08-16,3
2015-08-23,3
2015-08-30,2
2015-09-06,2
2015-09-13,2
2015-09-20,2
2015-09-27,2
2015-10-04,2
2015-10-11,2
2015-10-18,3
2015-10-25,2
2015-11-01,2
2015-11-08,2
2015-11-15,2
2015-11-22,3
2015-11-29,13
2015-12-06,5
2015-12-13,4
2015-12-20,4
2015-12-27,4
2016-01-03,4
2016-01-10,5
2016-01-17,6
2016-01-24,5
2016-01-31,4
2016-02-07,7
2016-02-14,7
2016-02-21,7
2016-02-28,12
2016-03-06,13
2016-03-13,21
2016-03-20,100
