Week,Captainamerica
2015-05-10,4
2015-05-17,4
2015-05-24,3
2015-05-31,3
2015-06-07,2
2015-06-14,2
2015-06-21,3
2015-06-28,3
2015-07-05,3
2015-07-12,3
2015-07-19,4
2015-07-26,3
2015-08-02,3
2015-08-09,5
2015-08-16,8
2015-08-23,5
2015-08-30,5
2015-09-06,4
2015-09-13,3
2015-09-20,3
2015-09-27,3
2015-10-04,3
2015-10-11,3
2015-10-18,3
2015-10-25,3
2015-11-01,3
2015-11-08,3
2015-11-15,3
2015-11-22,21
2015-11-29,10
2015-12-06,6
2015-12-13,5
2015-12-20,5
2015-12-27,5
2016-01-03,5
2016-01-10,4
2016-01-17,5
2016-01-24,4
2016-01-31,4
2016-02-07,10
2016-02-14,7
2016-02-21,6
2016-02-28,6
2016-03-06,35
2016-03-13,20
2016-03-20,13
2016-03-27,14
2016-04-03,14
2016-04-10,32
2016-04-17,29
2016-04-24,56
2016-05-01,100
