Day,Arrival
2016-05-11,28
2016-05-12,56
2016-05-13,29
2016-05-14,49
2016-05-15,0
2016-05-16,0
2016-05-17,28
2016-05-18,28
2016-05-19,0
2016-05-20,29
2016-05-21,33
2016-05-22,0
2016-05-23,27
2016-05-24,0
2016-05-25,28
2016-05-26,0
2016-05-27,30
2016-05-28,0
2016-05-29,33
2016-05-30,28
2016-05-31,0
2016-06-01,28
2016-06-02,28
2016-06-03,30
2016-06-04,100
2016-06-05,0
2016-06-06,28
2016-06-07,28
2016-06-08,29
2016-06-09,28
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,28
2016-06-14,0
2016-06-15,42
2016-06-16,28
2016-06-17,0
2016-06-18,0
2016-06-19,33
2016-06-20,28
2016-06-21,28
2016-06-22,0
2016-06-23,29
2016-06-24,29
2016-06-25,0
2016-06-26,0
2016-06-27,28
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,34
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,30
2016-07-09,0
2016-07-10,0
2016-07-11,28
2016-07-12,0
2016-07-13,0
2016-07-14,0
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,0
2016-07-21,0
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,28
2016-07-27,0
2016-07-28,0
2016-07-29,30
2016-07-30,34
2016-07-31,0
2016-08-01,29
2016-08-02,29
2016-08-03,29
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,29
2016-08-09,29
2016-08-10,29
2016-08-11,0
2016-08-12,60
2016-08-13,33
2016-08-14,34
2016-08-15,0
2016-08-16,56
2016-08-17,0
2016-08-18,29
2016-08-19,59
2016-08-20,0
2016-08-21,0
2016-08-22,28
2016-08-23,29
2016-08-24,28
2016-08-25,86
2016-08-26,0
2016-08-27,33
2016-08-28,33
2016-08-29,27
2016-08-30,28
2016-08-31,0
2016-09-01,28
2016-09-02,29
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,32
2016-09-11,64
2016-09-12,27
2016-09-13,0
2016-09-14,55
2016-09-15,28
2016-09-16,0
2016-09-17,0
2016-09-18,31
2016-09-19,0
2016-09-20,0
2016-09-21,27
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,32
2016-09-26,0
2016-09-27,27
2016-09-28,0
2016-09-29,0
2016-09-30,29
2016-10-01,0
2016-10-02,61
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,26
2016-10-18,26
2016-10-19,0
2016-10-20,0
2016-10-21,27
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,26
2016-10-26,26
2016-10-27,0
2016-10-28,0
2016-10-29,31
2016-10-30,0
2016-10-31,0
2016-11-01,0
2016-11-02,0
2016-11-03,52
2016-11-04,0
2016-11-05,0
2016-11-06,0
2016-11-07,26
2016-11-08,0
2016-11-09,0
2016-11-10,26
2016-11-11,28
