Day,Lalaland
2016-06-25,0
2016-06-26,0
2016-06-27,1
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,0
2016-07-09,1
2016-07-10,1
2016-07-11,1
2016-07-12,0
2016-07-13,11
2016-07-14,12
2016-07-15,6
2016-07-16,4
2016-07-17,3
2016-07-18,2
2016-07-19,2
2016-07-20,2
2016-07-21,1
2016-07-22,1
2016-07-23,1
2016-07-24,1
2016-07-25,1
2016-07-26,1
2016-07-27,1
2016-07-28,1
2016-07-29,2
2016-07-30,1
2016-07-31,2
2016-08-01,1
2016-08-02,1
2016-08-03,1
2016-08-04,1
2016-08-05,1
2016-08-06,1
2016-08-07,1
2016-08-08,1
2016-08-09,1
2016-08-10,0
2016-08-11,1
2016-08-12,1
2016-08-13,1
2016-08-14,1
2016-08-15,1
2016-08-16,1
2016-08-17,1
2016-08-18,1
2016-08-19,1
2016-08-20,1
2016-08-21,0
2016-08-22,1
2016-08-23,6
2016-08-24,8
2016-08-25,4
2016-08-26,3
2016-08-27,2
2016-08-28,2
2016-08-29,2
2016-08-30,3
2016-08-31,12
2016-09-01,11
2016-09-02,7
2016-09-03,5
2016-09-04,9
2016-09-05,5
2016-09-06,4
2016-09-07,3
2016-09-08,3
2016-09-09,3
2016-09-10,6
2016-09-11,8
2016-09-12,5
2016-09-13,7
2016-09-14,6
2016-09-15,4
2016-09-16,4
2016-09-17,4
2016-09-18,6
2016-09-19,6
2016-09-20,4
2016-09-21,3
2016-09-22,3
2016-09-23,3
2016-09-24,3
2016-09-25,3
2016-09-26,2
2016-09-27,2
2016-09-28,2
2016-09-29,2
2016-09-30,2
2016-10-01,2
2016-10-02,2
2016-10-03,1
2016-10-04,2
2016-10-05,2
2016-10-06,2
2016-10-07,3
2016-10-08,3
2016-10-09,3
2016-10-10,2
2016-10-11,3
2016-10-12,3
2016-10-13,2
2016-10-14,3
2016-10-15,3
2016-10-16,4
2016-10-17,2
2016-10-18,2
2016-10-19,4
2016-10-20,2
2016-10-21,2
2016-10-22,3
2016-10-23,3
2016-10-24,3
2016-10-25,2
2016-10-26,2
2016-10-27,2
2016-10-28,2
2016-10-29,2
2016-10-30,3
2016-10-31,3
2016-11-01,2
2016-11-02,3
2016-11-03,8
2016-11-04,10
2016-11-05,9
2016-11-06,7
2016-11-07,5
2016-11-08,4
2016-11-09,3
2016-11-10,4
2016-11-11,5
2016-11-12,5
2016-11-13,6
2016-11-14,5
2016-11-15,5
2016-11-16,6
2016-11-17,5
2016-11-18,6
2016-11-19,6
2016-11-20,8
2016-11-21,6
2016-11-22,11
2016-11-23,8
2016-11-24,8
2016-11-25,8
2016-11-26,8
2016-11-27,9
2016-11-28,8
2016-11-29,6
2016-11-30,7
2016-12-01,10
2016-12-02,14
2016-12-03,15
2016-12-04,14
2016-12-05,12
2016-12-06,12
2016-12-07,18
2016-12-08,24
2016-12-09,40
2016-12-10,38
2016-12-11,36
2016-12-12,85
2016-12-13,54
2016-12-14,38
2016-12-15,39
2016-12-16,52
2016-12-17,67
2016-12-18,62
2016-12-19,48
2016-12-20,43
2016-12-21,45
2016-12-22,48
2016-12-23,58
2016-12-24,67
2016-12-25,100
