Day,Suicidesquad
2016-02-05,2
2016-02-06,2
2016-02-07,2
2016-02-08,2
2016-02-09,2
2016-02-10,2
2016-02-11,2
2016-02-12,2
2016-02-13,2
2016-02-14,2
2016-02-15,2
2016-02-16,2
2016-02-17,1
2016-02-18,2
2016-02-19,2
2016-02-20,2
2016-02-21,2
2016-02-22,1
2016-02-23,1
2016-02-24,1
2016-02-25,1
2016-02-26,1
2016-02-27,1
2016-02-28,1
2016-02-29,1
2016-03-01,1
2016-03-02,1
2016-03-03,1
2016-03-04,1
2016-03-05,1
2016-03-06,1
2016-03-07,1
2016-03-08,1
2016-03-09,1
2016-03-10,1
2016-03-11,2
2016-03-12,2
2016-03-13,2
2016-03-14,1
2016-03-15,1
2016-03-16,1
2016-03-17,1
2016-03-18,2
2016-03-19,2
2016-03-20,2
2016-03-21,2
2016-03-22,1
2016-03-23,2
2016-03-24,2
2016-03-25,3
2016-03-26,4
2016-03-27,4
2016-03-28,3
2016-03-29,3
2016-03-30,2
2016-03-31,2
2016-04-01,5
2016-04-02,4
2016-04-03,3
2016-04-04,2
2016-04-05,2
2016-04-06,2
2016-04-07,2
2016-04-08,2
2016-04-09,2
2016-04-10,3
2016-04-11,20
2016-04-12,10
2016-04-13,7
2016-04-14,5
2016-04-15,5
2016-04-16,6
2016-04-17,4
2016-04-18,3
2016-04-19,3
2016-04-20,3
2016-04-21,3
2016-04-22,3
2016-04-23,3
2016-04-24,3
2016-04-25,2
2016-04-26,2
2016-04-27,2
2016-04-28,2
2016-04-29,2
2016-04-30,3
2016-05-01,3
2016-05-02,2
2016-05-03,2
2016-05-04,2
2016-05-05,2
2016-05-06,2
2016-05-07,2
2016-05-08,2
2016-05-09,2
2016-05-10,2
2016-05-11,2
2016-05-12,2
2016-05-13,2
2016-05-14,2
2016-05-15,2
2016-05-16,2
2016-05-17,2
2016-05-18,2
2016-05-19,2
2016-05-20,2
2016-05-21,2
2016-05-22,3
2016-05-23,2
2016-05-24,2
2016-05-25,2
2016-05-26,2
2016-05-27,2
2016-05-28,3
2016-05-29,3
2016-05-30,2
2016-05-31,2
2016-06-01,2
2016-06-02,2
2016-06-03,2
2016-06-04,3
2016-06-05,3
2016-06-06,2
2016-06-07,2
2016-06-08,2
2016-06-09,3
2016-06-10,3
2016-06-11,3
2016-06-12,3
2016-06-13,2
2016-06-14,2
2016-06-15,2
2016-06-16,2
2016-06-17,4
2016-06-18,4
2016-06-19,4
2016-06-20,4
2016-06-21,3
2016-06-22,4
2016-06-23,4
2016-06-24,4
2016-06-25,5
2016-06-26,5
2016-06-27,4
2016-06-28,4
2016-06-29,4
2016-06-30,4
2016-07-01,4
2016-07-02,5
2016-07-03,5
2016-07-04,5
2016-07-05,5
2016-07-06,5
2016-07-07,5
2016-07-08,6
2016-07-09,7
2016-07-10,7
2016-07-11,6
2016-07-12,7
2016-07-13,7
2016-07-14,8
2016-07-15,8
2016-07-16,8
2016-07-17,8
2016-07-18,8
2016-07-19,9
2016-07-20,9
2016-07-21,11
2016-07-22,12
2016-07-23,14
2016-07-24,20
2016-07-25,15
2016-07-26,14
2016-07-27,14
2016-07-28,15
2016-07-29,17
2016-07-30,24
2016-07-31,25
2016-08-01,26
2016-08-02,45
2016-08-03,64
2016-08-04,75
2016-08-05,100
