Day,Batman
2016-01-25,4
2016-01-26,3
2016-01-27,3
2016-01-28,2
2016-01-29,2
2016-01-30,3
2016-01-31,3
2016-02-01,2
2016-02-02,2
2016-02-03,2
2016-02-04,2
2016-02-05,2
2016-02-06,3
2016-02-07,3
2016-02-08,4
2016-02-09,3
2016-02-10,2
2016-02-11,5
2016-02-12,7
2016-02-13,5
2016-02-14,5
2016-02-15,4
2016-02-16,4
2016-02-17,3
2016-02-18,3
2016-02-19,3
2016-02-20,4
2016-02-21,4
2016-02-22,4
2016-02-23,4
2016-02-24,4
2016-02-25,4
2016-02-26,4
2016-02-27,5
2016-02-28,5
2016-02-29,6
2016-03-01,7
2016-03-02,7
2016-03-03,6
2016-03-04,7
2016-03-05,8
2016-03-06,7
2016-03-07,6
2016-03-08,6
2016-03-09,6
2016-03-10,8
2016-03-11,9
2016-03-12,9
2016-03-13,10
2016-03-14,9
2016-03-15,10
2016-03-16,10
2016-03-17,11
2016-03-18,14
2016-03-19,17
2016-03-20,20
2016-03-21,23
2016-03-22,26
2016-03-23,43
2016-03-24,63
2016-03-25,100
