Day,Fantasticbeast
2016-08-18,2
2016-08-19,2
2016-08-20,3
2016-08-21,2
2016-08-22,2
2016-08-23,2
2016-08-24,1
2016-08-25,1
2016-08-26,1
2016-08-27,2
2016-08-28,2
2016-08-29,2
2016-08-30,1
2016-08-31,2
2016-09-01,2
2016-09-02,2
2016-09-03,2
2016-09-04,2
2016-09-05,2
2016-09-06,2
2016-09-07,2
2016-09-08,2
2016-09-09,2
2016-09-10,1
2016-09-11,2
2016-09-12,2
2016-09-13,2
2016-09-14,2
2016-09-15,2
2016-09-16,1
2016-09-17,2
2016-09-18,2
2016-09-19,2
2016-09-20,1
2016-09-21,2
2016-09-22,2
2016-09-23,2
2016-09-24,2
2016-09-25,2
2016-09-26,2
2016-09-27,2
2016-09-28,8
2016-09-29,7
2016-09-30,5
2016-10-01,5
2016-10-02,5
2016-10-03,4
2016-10-04,4
2016-10-05,3
2016-10-06,4
2016-10-07,4
2016-10-08,4
2016-10-09,5
2016-10-10,4
2016-10-11,6
2016-10-12,4
2016-10-13,7
2016-10-14,15
2016-10-15,11
2016-10-16,9
2016-10-17,7
2016-10-18,8
2016-10-19,7
2016-10-20,8
2016-10-21,8
2016-10-22,8
2016-10-23,10
2016-10-24,7
2016-10-25,8
2016-10-26,7
2016-10-27,9
2016-10-28,9
2016-10-29,10
2016-10-30,13
2016-10-31,10
2016-11-01,13
2016-11-02,18
2016-11-03,16
2016-11-04,20
2016-11-05,21
2016-11-06,21
2016-11-07,17
2016-11-08,17
2016-11-09,15
2016-11-10,22
2016-11-11,26
2016-11-12,35
2016-11-13,39
2016-11-14,37
2016-11-15,38
2016-11-16,49
2016-11-17,62
2016-11-18,100
