Day,Manchesterbythesea
2016-09-16,4
2016-09-17,11
2016-09-18,9
2016-09-19,5
2016-09-20,5
2016-09-21,2
2016-09-22,5
2016-09-23,4
2016-09-24,11
2016-09-25,5
2016-09-26,3
2016-09-27,1
2016-09-28,6
2016-09-29,5
2016-09-30,3
2016-10-01,6
2016-10-02,4
2016-10-03,4
2016-10-04,10
2016-10-05,3
2016-10-06,3
2016-10-07,6
2016-10-08,11
2016-10-09,3
2016-10-10,4
2016-10-11,6
2016-10-12,8
2016-10-13,6
2016-10-14,2
2016-10-15,6
2016-10-16,5
2016-10-17,7
2016-10-18,7
2016-10-19,4
2016-10-20,12
2016-10-21,6
2016-10-22,5
2016-10-23,6
2016-10-24,3
2016-10-25,5
2016-10-26,6
2016-10-27,4
2016-10-28,11
2016-10-29,9
2016-10-30,7
2016-10-31,6
2016-11-01,6
2016-11-02,4
2016-11-03,10
2016-11-04,4
2016-11-05,8
2016-11-06,10
2016-11-07,8
2016-11-08,15
2016-11-09,27
2016-11-10,16
2016-11-11,15
2016-11-12,10
2016-11-13,10
2016-11-14,13
2016-11-15,31
2016-11-16,20
2016-11-17,38
2016-11-18,83
2016-11-19,64
2016-11-20,49
2016-11-21,37
2016-11-22,30
2016-11-23,37
2016-11-24,37
2016-11-25,76
2016-11-26,85
2016-11-27,52
2016-11-28,44
2016-11-29,53
2016-11-30,74
2016-12-01,60
2016-12-02,86
2016-12-03,96
2016-12-04,78
2016-12-05,56
2016-12-06,51
2016-12-07,56
2016-12-08,48
2016-12-09,61
2016-12-10,83
2016-12-11,100
2016-12-12,96
2016-12-13,87
2016-12-14,68
2016-12-15,68
2016-12-16,90
