Week,Arrival
2015-11-15,20
2015-11-22,20
2015-11-29,10
2015-12-06,0
2015-12-13,10
2015-12-20,23
2015-12-27,43
2016-01-03,49
2016-01-10,48
2016-01-17,76
2016-01-24,38
2016-01-31,19
2016-02-07,28
2016-02-14,27
2016-02-21,0
2016-02-28,9
2016-03-06,45
2016-03-13,18
2016-03-20,28
2016-03-27,0
2016-04-03,0
2016-04-10,100
2016-04-17,9
2016-04-24,9
2016-05-01,9
2016-05-08,0
2016-05-15,0
2016-05-22,37
2016-05-29,19
2016-06-05,0
2016-06-12,46
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,9
2016-07-24,19
2016-07-31,9
2016-08-07,38
2016-08-14,84
2016-08-21,18
2016-08-28,36
2016-09-04,0
2016-09-11,18
2016-09-18,9
2016-09-25,18
2016-10-02,17
2016-10-09,0
2016-10-16,9
2016-10-23,17
2016-10-30,26
2016-11-06,17
