Week,Moana
2015-11-29,2
2015-12-06,2
2015-12-13,2
2015-12-20,2
2015-12-27,3
2016-01-03,3
2016-01-10,2
2016-01-17,2
2016-01-24,2
2016-01-31,2
2016-02-07,2
2016-02-14,2
2016-02-21,2
2016-02-28,2
2016-03-06,2
2016-03-13,2
2016-03-20,2
2016-03-27,2
2016-04-03,2
2016-04-10,2
2016-04-17,2
2016-04-24,2
2016-05-01,2
2016-05-08,2
2016-05-15,2
2016-05-22,2
2016-05-29,2
2016-06-05,3
2016-06-12,14
2016-06-19,6
2016-06-26,5
2016-07-03,4
2016-07-10,3
2016-07-17,14
2016-07-24,14
2016-07-31,9
2016-08-07,9
2016-08-14,6
2016-08-21,7
2016-08-28,5
2016-09-04,5
2016-09-11,12
2016-09-18,12
2016-09-25,8
2016-10-02,7
2016-10-09,8
2016-10-16,9
2016-10-23,10
2016-10-30,13
2016-11-06,17
2016-11-13,30
2016-11-20,100
