Week,Zootopia
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,0
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,2
2015-06-14,1
2015-06-21,1
2015-06-28,1
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,1
2015-08-16,1
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,1
2015-09-27,0
2015-10-04,1
2015-10-11,0
2015-10-18,0
2015-10-25,1
2015-11-01,1
2015-11-08,1
2015-11-15,1
2015-11-22,7
2015-11-29,4
2015-12-06,3
2015-12-13,4
2015-12-20,8
2015-12-27,10
2016-01-03,10
2016-01-10,8
2016-01-17,8
2016-01-24,10
2016-01-31,13
2016-02-07,19
2016-02-14,37
2016-02-21,57
2016-02-28,100
